Cluster_0,Cluster_1
afghanistan,albanien
ägypten,australien
algerien,belgien
angola,bulgarien
argentinien,dänemark
armenien,estland
aserbaidschan,finnland
äthiopien,frankreich
bangladesch,griechenland
belarus,hongkong
bosnien_und_herzegowina,irland
brasilien,island
chile,italien
china,japan
georgien,kanada
ghana,kroatien
indien,lettland
indonesien,litauen
irak,luxemburg
iran,malta
israel,mazedonien
kambodscha,montenegro
kasachstan,neuseeland
kenia,niederlande
kolumbien,norwegen
kongo,österreich
kuba,polen
libyen,portugal
malaysia,rumänien
mali,schweden
mexiko,schweiz
mosambik,singapur
namibia,slowakei
nepal,slowenien
niger,spanien
nigeria,tschechien
nordkorea,ukraine
pakistan,ungarn
philippinen,usa
ruanda,vereinigtes_königreich
saudi_arabien,zypern
senegal,
serbien,
somalia,
südafrika,
sudan,
südkorea,
südsudan,
syrien,
tansania,
thailand,
türkei,
uganda,
vietnam,
